#,Company,Location,# Laid Off,Date,%,Industry
195,Tomo,Stamford,44,5/31/2022,33%,Finance
196,Getta,Tel Aviv     No,30,5/31/2022,,Transport…
197,BookClub,Salt Lake …,12,5/31/2022,25%,Education
198,Cerebral,SF Bay Area,,5/31/2022,,Healthcare
,,,,,,
199,SWVL,Dubai     Non-,400,5/30/2022,32%,Transport…
200,Mobile Premier L…,Bengaluru,100,5/30/2022,10%,Consumer
201,SumUp,Sao Paulo     N,100,5/30/2022,3%,Finance
202,Tempus Ex,SF Bay Area,,5/30/2022,,Data
203,FrontRow,Bengaluru,145,5/27/2022,30%,Education
204,Daloopa,New Delhi     N,40,5/27/2022,,Data
205,Uncapped,London     No,29,5/27/2022,26%,Finance
206,Akerna,Denver,,5/27/2022,,Logistics
207,Terminus,Atlanta,,5/27/2022,,Marketing
208,VTEX,Sao Paulo     N,200,5/26/2022,13%,Retail
209,Bitso,Mexico City,80,5/26/2022,11%,Crypto
210,Foodpanda,Bucharest,80,5/26/2022,,Food
211,Dazn,London     No,50,5/26/2022,2%,Consumer
212,Getir,Istanbul     No,4480,5/25/2022,14%,Food
213,Lacework,SF Bay Area,300,5/25/2022,20%,Security
214,Bolt,SF Bay Area,240,5/25/2022,27%,Finance
215,PeerStreet,Los Angeles,75,5/25/2022,,Finance
216,Kontist,Berlin     Non-,50,5/25/2022,25%,Finance
217,Nuri,Berlin     Non-,45,5/25/2022,20%,Finance
218,Coterie Insurance,Cincinnati,30,5/25/2022,20%,Finance
219,Airlift,Lahore     Non,,5/25/2022,31%,Logistics
220,Zapp,London     No,,5/25/2022,10%,Food
221,Gorillas,Berlin     Non-,300,5/24/2022,50%,Food
222,Zenius,Jakarta     Non,200,5/24/2022,,Education
223,The Zebra,Austin,40,5/24/2022,,Finance
224,Klarna,Stockholm,700,5/23/2022,10%,Finance
225,PayPal,SF Bay Area,83,5/23/2022,,Finance
226,Buenbit,Buenos Ai…,80,5/23/2022,45%,Crypto
227,BeyondMinds,Tel Aviv     No,65,5/23/2022,100%,Data
228,ClickUp,San Diego,60,5/23/2022,7%,Other
229,Olist,Curitiba     No,,5/23/2022,,Retail
230,MFine,Bengaluru,600,5/21/2022,75%,Healthcare
231,Latch,New York …,130,5/20/2022,28%,Security
232,Outside,Boulder,87,5/20/2022,15%,Media
233,Skillz,SF Bay Area,70,5/20/2022,10%,Consumer
234,Cars24,Gurugram     N,600,5/19/2022,6%,Transport…
235,Vedantu,Bengaluru,424,5/18/2022,7%,Education
236,Netflix,SF Bay Area,150,5/17/2022,1%,Media
237,Kry,Stockholm,100,5/17/2022,10%,Healthcare
238,Picsart,Miami,90,5/17/2022,8%,Consumer
239,Zak,Sao Paulo     N,100,5/16/2022,40%,Food
240,Zulily,Seattle,,5/16/2022,,Retail
241,AliExpress Russia,Moscow     No,400,5/14/2022,40%,Retail
242,Thirty Madison,New York …,24,5/14/2022,,Healthcare
243,CommonBond,New York …,22,5/13/2022,,Finance
244,Subspace,Los Angeles,,5/13/2022,100%,Infrastruc…
245,Zwift,Los Angeles,150,5/12/2022,,Fitness
246,Section4,New York …,32,5/12/2022,,Education
247,Tripwire,Portland,,5/12/2022,,Security
248,DataRobot,Boston,70,5/11/2022,7%,Data
249,Carvana,Phoenix,2500,5/10/2022,12%,Transport…
250,Doma,SF Bay Area,310,5/10/2022,15%,Finance
251,Pollen,London     No,200,5/10/2022,33%,Travel
252,Latch,New York …,30,5/10/2022,6%,Security
253,Vroom,New York …,270,5/9/2022,14%,Transport…
254,Reef,Miami,750,5/6/2022,5%,Transport…
255,divvyDOSE,Davenport,62,5/6/2022,,Healthcare
256,Vedantu,Bengaluru,200,5/5/2022,3%,Education
257,Mural,SF Bay Area,90,5/5/2022,10%,Product
258,On Deck,SF Bay Area,72,5/5/2022,25%,Education
259,SEND,Sydney     Non,300,5/4/2022,100%,Food
260,Colossus,Boston,97,5/4/2022,,Energy
261,Cameo,Chicago,87,5/4/2022,25%,Consumer
262,Mainstreet,SF Bay Area,45,5/4/2022,30%,Finance
263,Ideoclick,Seattle,40,5/4/2022,,Retail
264,Vise,New York …,25,5/4/2022,,Finance
265,Bizpay,Sydney     Non,,5/4/2022,30%,Finance
266,Thrasio,Boston,,5/2/2022,,Retail
267,Avo,Tel Aviv     No,500,5/1/2022,67%,Food
268,Noom,New York …,495,4/29/2022,,Healthcare
269,Netflix,SF Bay Area,25,4/28/2022,,Media
270,Wahoo Fitness,Atlanta,50,4/27/2022,,Fitness
271,Robinhood,SF Bay Area,340,4/26/2022,9%,Finance
272,Bonsai,Toronto     No,29,4/26/2022,34%,Retail
,Clyde,New York …,22,4/25/2022,,Marketing
273,,,,,,
274,Xiaohongshu,Shanghai     N,180,4/21/2022,9%,Consumer
275,Facily,Sao Paulo     N,260,4/20/2022,30%,Retail
276,Lemonade,New York …,52,4/20/2022,,Finance
277,Blend,SF Bay Area,200,4/19/2022,10%,Finance
278,QuintoAndar,Sao Paulo     N,160,4/19/2022,4%,Real Estate
279,Loft,Sao Paulo     N,159,4/19/2022,,Real Estate
280,Better.com,New York …,,4/19/2022,,Real Estate
281,Automox,Boulder,,4/18/2022,11%,Infrastruc…
282,Humble,SF Bay Area,10,4/15/2022,,Media
283,Halcyon Health,New York …,,4/15/2022,100%,Healthcare
284,Ahead,SF Bay Area,44,4/14/2022,100%,Healthcare
285,Truepill,SF Bay Area,,4/14/2022,,Healthcare
286,Rad Power Bikes,Seattle,100,4/12/2022,14%,Transport…
287,Meesho,Bengaluru,150,4/11/2022,,Retail
288,Food52,New York …,20,4/8/2022,10%,Food
289,Unacademy,Bengaluru,1000,4/7/2022,17%,Education
290,Workrise,Austin,450,4/5/2022,,Energy
291,Fast,SF Bay Area,,4/5/2022,100%,Finance
292,BitMEX,Non-U.S.,75,4/4/2022,25%,Crypto
293,Legible,Vancouver,23,4/4/2022,38%,Media
294,Sea,Bengaluru,350,3/30/2022,,Retail
295,Rasa,Berlin     Non-,59,3/30/2022,40%,Data
296,Gopuff,Philadelphia,450,3/29/2022,3%,Food
297,Thinkific,Vancouver,100,3/29/2022,20%,Education
298,Furlenco,Bengaluru,180,3/26/2022,,Retail
299,Grove Collaborat…,SF Bay Area,,3/19/2022,17%,Retail
300,Storytel,Stockholm,100,3/17/2022,10%,Media
301,Curology,SF Bay Area,150,3/16/2022,,Healthcare
302,Trell,Bengaluru,300,3/15/2022,50%,Retail
303,Knock,New York …,115,3/15/2022,46%,Real Estate
304,Talis Biomedical,SF Bay Area,,3/15/2022,25%,Healthcare
305,Sezzle,Minneapolis,,3/10/2022,20%,Finance
306,Better.com,New York …,3000,3/8/2022,33%,Real Estate
307,Adaptive Biotech…,Seattle,100,3/8/2022,12%,Healthcare
308,Hyperscience,New York …,100,3/3/2022,25%,Data
309,WeDoctor,Non-U.S.,500,3/2/2022,,Healthcare
310,Wish,SF Bay Area,190,3/1/2022,15%,Retail
311,OKCredit,New Delhi     N,30,2/24/2022,,Finance
312,Lido,Mumbai     No,150,2/21/2022,,Education
313,Virgin Hyperloop,Los Angeles,111,2/21/2022,50%,Transport…
314,Trustly,Stockholm,120,2/17/2022,,Finance
315,Liv Up,Sao Paulo     N,100,2/16/2022,15%,Food
316,Homie,Salt Lake …,119,2/14/2022,29%,Real Estate
317,Hopin,London     No,138,2/10/2022,12%,Other
318,Peloton,New York …,2800,2/8/2022,20%,Fitness
319,Rhino,New York …,57,2/3/2022,20%,Real Estate
320,Gopuff,Philadelphia,100,1/26/2022,,Food
321,Glossier,New York …,80,1/26/2022,33%,Consumer
,Root Insurance,,330,1/20/2022,,
322,,Columbus,,,,Finance
323,Spin,SF Bay Area,,1/8/2022,25%,Transport…
324,Delivery Hero,Berlin     Non-,300,12/22/2021,,Food
325,Better.com,New York …,900,12/1/2021,9%,Real Estate
326,BitTitan,Seattle,70,11/18/2021,27%,Data
327,Zillow,Seattle,2000,11/2/2021,25%,Real Estate
328,InVision,New York …,22,10/5/2021,,Product
329,Ozy Media,SF Bay Area,,10/1/2021,100%,Media
330,Zymergen,SF Bay Area,120,9/23/2021,,Other
331,Imperfect Foods,SF Bay Area,,9/22/2021,,Food
332,Genius,New York …,,9/15/2021,,Consumer
333,Treehouse,Portland,41,9/14/2021,90%,Education
334,Casper,New York …,,9/14/2021,,Retail
335,Tanium,Seattle,30,8/30/2021,,Security
336,Flockjay,SF Bay Area,37,8/24/2021,50%,Education
337,Bytedance,Shanghai     N,1800,8/5/2021,,Consumer
338,Pagarbook,Bengaluru,80,7/26/2021,,HR
339,Katerra,SF Bay Area,2434,6/1/2021,100%,Construct…
340,SumUp,London     No,,5/5/2021,,Finance
341,Lambda School,SF Bay Area,65,4/29/2021,,Education
342,Madefire,SF Bay Area,,4/29/2021,100%,Media
343,Patreon,SF Bay Area,36,4/26/2021,,Media
344,New Relic,SF Bay Area,160,4/6/2021,7%,Infrastruc…
345,Medium,SF Bay Area,,3/24/2021,,Media
346,HuffPo,New York …,47,3/9/2021,,Media
347,Subspace,Los Angeles,,3/3/2021,,Infrastruc…
348,Clumio,SF Bay Area,,3/1/2021,,Data
349,DJI,SF Bay Area,,2/24/2021,,Consumer
350,Ninjacart,Bengaluru,200,2/23/2021,,Food
351,Bounce,Bengaluru,200,2/22/2021,40%,Transport…
352,ThredUp,Chicago,243,2/9/2021,,Retail
353,Indigo,Boston,80,2/9/2021,,Other
354,Limelight,New York …,13,2/4/2021,100%,Recruiting
355,Quandoo,Berlin     Non-,87,2/3/2021,20%,Food
356,Hubba,Toronto     No,45,2/1/2021,100%,Retail
357,Bytedance,Mumbai     No,1800,1/27/2021,,Consumer
358,Privitar,London     No,20,1/27/2021,,Data
359,Postmates,SF Bay Area,180,1/23/2021,15%,Food
360,Instacart,SF Bay Area,1877,1/21/2021,,Food
361,Pocketmath,Singapore,21,1/20/2021,100%,Marketing
362,Dropbox,SF Bay Area,315,1/13/2021,15%,Other
363,Aura Financial,SF Bay Area,,1/11/2021,100%,Finance
364,Simple,Portland,,1/7/2021,100%,Finance
365,WhiteHat Jr,Mumbai     No,1800,1/6/2021,,Education
366,Pulse Secure,SF Bay Area,78,12/23/2020,,Security
367,Breather,Montreal     N,120,12/16/2020,80%,Real Estate
368,Actifio,Boston,54,12/16/2020,,Data
369,OYO,Gurugram     N,600,12/8/2020,,Travel
370,Zinier,SF Bay Area,,11/25/2020,,HR
,,,,,,
371,Aya,Toronto     No,5,11/19/2020,25%,Finance
372,Domio,New York …,,11/18/2020,50%,Real Estate
373,Bridge Connector,Nashville,154,11/17/2020,100%,Healthcare
374,Tidepool,SF Bay Area,18,11/17/2020,40%,Healthcare
375,Igenous,Seattle,,11/17/2020,,Data
376,Scoop,SF Bay Area,,11/17/2020,,Transport…
377,Worksmith,Austin,30,11/9/2020,50%,Retail
378,Rubica,Seattle,,11/5/2020,100%,Security
379,Bossa Nova,SF Bay Area,,11/2/2020,50%,Retail
380,Remedy,Austin,82,10/29/2020,,Healthcare
381,Knotel,New York …,20,10/29/2020,8%,Real Estate
382,Cheetah,SF Bay Area,,10/25/2020,,Food
383,CodeCombat,SF Bay Area,8,10/23/2020,,Education
384,Quibi,Los Angeles,,10/21/2020,100%,Media
385,Zomato,Jakarta     Non,,10/20/2020,,Food
