#,Company,Location,# Laid Off,Date,%,Industry
928,Bevi,Boston,30,3/27/2020,20%,Food
929,Textio,Seattle,30,3/27/2020,20%,Recruiting
930,Opal,Portland,20,3/27/2020,,Marketing
931,ThirdLove,New York …,10,3/27/2020,,Retail
932,Bcredi,Curitiba     No,,3/27/2020,,Finance
933,Make School,SF Bay Area,,3/27/2020,,Education
934,Pivot3,Austin,,3/27/2020,,Infrastruc…
935,B8ta,SF Bay Area,250,3/26/2020,50%,Retail
936,Fareportal,Gurugram     N,200,3/26/2020,,Travel
937,Puppet,Portland,50,3/26/2020,10%,Infrastruc…
938,Ecobee,Toronto     No,47,3/26/2020,10%,Energy
939,Passport,Charlotte,44,3/26/2020,,Transport…
940,Peerspace,SF Bay Area,41,3/26/2020,75%,Real Estate
941,GoSpotCheck,Denver,23,3/26/2020,20%,Retail
942,Consider.co,SF Bay Area,13,3/26/2020,100%,Other
943,Nativo,Los Angeles,,3/26/2020,40%,Marketing
944,TripActions,SF Bay Area,300,3/25/2020,25%,Travel
945,Lyric,SF Bay Area,100,3/25/2020,,Real Estate
946,Rangle,Toronto     No,78,3/25/2020,30%,Product
947,O'Reilly Media,SF Bay Area,75,3/25/2020,15%,Media
948,WanderJaunt,SF Bay Area,56,3/25/2020,23%,Travel
949,OutboundEngine,Austin,52,3/25/2020,28%,Marketing
950,Wonderschool,SF Bay Area,50,3/25/2020,75%,Education
951,Overtime,New York …,30,3/25/2020,23%,Media
952,Jama,Portland,12,3/25/2020,5%,Product
953,Element Analytics,SF Bay Area,10,3/25/2020,,Data
954,Clever Real Estate,St. Louis,,3/25/2020,,Real Estate
955,Clutter,Los Angeles,,3/25/2020,30%,Consumer
956,Divvy Homes,SF Bay Area,,3/25/2020,8%,Real Estate
957,Universal Standard,New York …,,3/25/2020,,Retail
958,Sonder,SF Bay Area,400,3/24/2020,33%,Travel
959,Takl,Nashville,130,3/24/2020,,Consumer
960,Foodsby,Minneapolis,87,3/24/2020,67%,Food
,,,,,,
961,Zeus Living,SF Bay Area,80,3/24/2020,30%,Real Estate
962,TravelBank,SF Bay Area,20,3/24/2020,,Travel
963,Flowr,Toronto     No,,3/24/2020,25%,Retail
964,Peerfit,Tampa Bay,,3/24/2020,40%,HR
965,SpotHero,Chicago,,3/24/2020,,Transport…
966,Compass,New York …,375,3/23/2020,15%,Real Estate
967,Convene,New York …,150,3/23/2020,18%,Real Estate
968,Leafly,Seattle,91,3/23/2020,50%,Retail
969,The Guild,Austin,38,3/23/2020,22%,Travel
970,Drip,Salt Lake …,20,3/23/2020,,Marketing
971,GrayMeta,Los Angeles,20,3/23/2020,40%,Data
972,Triplebyte,SF Bay Area,15,3/23/2020,17%,Recruiting
973,Ladder Life,SF Bay Area,13,3/23/2020,25%,Finance
974,Cabin,SF Bay Area,,3/23/2020,20%,Travel
975,Eight Sleep,New York …,,3/23/2020,20%,Retail
976,Zwift,Los Angeles,,3/23/2020,,Fitness
977,Flywheel Sports,New York …,784,3/20/2020,98%,Fitness
978,Peek,Salt Lake …,45,3/20/2020,,Travel
979,CTO.ai,Vancouver,30,3/20/2020,50%,Infrastruc…
980,Yonder,Austin,18,3/20/2020,,Media
981,Service,Los Angeles,,3/20/2020,100%,Travel
982,Vacasa,Portland,,3/20/2020,,Travel
983,Bounce,Bengaluru,120,3/19/2020,,Transport…
984,Ejento,SF Bay Area,84,3/19/2020,100%,Recruiting
985,Remote Year,Chicago,50,3/19/2020,50%,Travel
986,Lola,Boston,34,3/19/2020,,Travel
987,Anyvision,Tel Aviv     No,,3/19/2020,,Security
988,Popin,New York …,,3/19/2020,100%,Fitness
989,Tuft & Needle,Phoenix,,3/19/2020,,Retail
990,Flytedesk,Boulder,4,3/18/2020,20%,Marketing
991,Inspirato,Denver,130,3/16/2020,22%,Travel
992,Help.com,Austin,16,3/16/2020,100%,Support
993,Service,Los Angeles,,3/16/2020,100%,Travel
994,HopSkipDrive,Los Angeles,8,3/13/2020,10%,Transport…
995,Panda Squad,SF Bay Area,6,3/13/2020,75%,Consumer
996,Tamara Mellon,Los Angeles,20,3/12/2020,40%,Retail
997,EasyPost,Salt Lake …,75,3/11/2020,,Logistics
UNIQUE   906,,,SUM   143630,,,
