Date,Open,High,Low,Close,Adj Close,Volume
2021-11-12,299.040009,302.309998,297.230011,301.100006,299.496063,2636100
2021-11-15,303.109985,303.109985,297.670013,300.700012,299.098175,2818400
2021-11-16,299.890015,305.059998,298.779999,304.600006,302.977417,2440200
2021-11-17,304.700012,305.459991,301.649994,302.790009,301.177063,2909600
2021-11-18,309.820007,311.640015,307.130005,310.239990,308.587341,3801300
2021-11-19,309.630005,314.070007,308.880005,312.200012,310.536926,3333000
2021-11-22,313.589996,318.820007,307.279999,307.489990,305.851990,5469900
2021-11-23,305.869995,308.640015,299.970001,305.260010,303.633881,5260900
2021-11-24,302.339996,308.500000,299.470001,308.339996,306.697479,3582500
2021-11-26,302.630005,305.429993,297.890015,299.399994,297.805084,3366300
2021-11-29,304.510010,311.739990,303.070007,311.420013,309.761078,4516400
2021-11-30,310.130005,312.769989,302.609985,304.899994,303.275787,6965700
2021-12-01,310.649994,315.570007,303.559998,303.820007,302.201569,7114600
2021-12-02,300.500000,307.170013,299.140015,304.609985,302.987335,6280000
2021-12-03,306.750000,309.440002,297.540009,301.149994,299.545776,6773700
2021-12-06,299.570007,301.390015,290.510010,300.000000,298.401917,5106000
2021-12-07,307.000000,315.420013,307.000000,314.549988,312.874390,5644500
2021-12-08,312.829987,313.829987,310.000000,313.190002,311.521637,3574200
2021-12-09,311.100006,314.209991,305.329987,305.609985,303.981995,3247200
2021-12-10,311.119995,311.750000,304.390015,307.549988,305.911682,3536300
2021-12-13,308.630005,308.940002,299.089996,299.570007,297.974213,3749800
2021-12-14,295.730011,299.480011,293.630005,297.839996,296.253418,4245900
2021-12-15,298.160004,310.380005,295.600006,310.160004,308.507782,5418400
2021-12-16,311.679993,312.350006,295.119995,296.679993,295.099579,7206200
2021-12-17,294.059998,300.049988,293.320007,295.290009,293.717010,5638800
2021-12-20,289.899994,293.489990,288.140015,291.510010,291.510010,5551000
2021-12-21,297.709991,302.320007,293.630005,302.040009,302.040009,4535500
2021-12-22,300.049988,305.640015,299.429993,305.630005,305.630005,2551400
2021-12-23,306.470001,310.380005,306.130005,308.260010,308.260010,2397800
2021-12-27,309.309998,316.679993,309.079987,316.559998,316.559998,3218700
2021-12-28,317.829987,317.920013,311.890015,313.440002,313.440002,2538100
2021-12-29,313.089996,315.549988,311.480011,313.390015,313.390015,3126100
2021-12-30,313.059998,314.010010,309.269989,309.829987,309.829987,2955300
2021-12-31,310.019989,312.040009,308.709991,308.790009,308.790009,1464900
2022-01-03,311.299988,315.700012,310.440002,315.600006,315.600006,3577600
2022-01-04,317.000000,318.690002,307.179993,313.959991,313.959991,5742800
2022-01-05,311.510010,313.880005,303.010010,303.190002,303.190002,8144200
2022-01-06,302.940002,307.519989,299.769989,306.200012,306.200012,6551200
2022-01-07,305.619995,306.609985,296.190002,296.890015,296.890015,6929400
2022-01-10,293.000000,297.750000,287.730011,297.269989,297.269989,7393900
2022-01-11,296.470001,303.579987,294.170013,303.269989,303.269989,4969900
2022-01-12,305.829987,308.390015,302.640015,305.859985,305.859985,5892300
2022-01-13,312.000000,314.820007,299.690002,300.540009,300.540009,8479300
2022-01-14,298.480011,307.390015,297.880005,306.910004,306.910004,5863600
2022-01-18,301.709991,301.799988,292.600006,293.179993,293.179993,6248700
2022-01-19,295.899994,297.690002,284.890015,285.079987,285.079987,8769500
